player_id,name,position,age,nationality,league,pace,dribbling,passing_accuracy,shooting,tackling,aerial_duels_won_pct,positioning,stamina,goals_per90,assists_per90,estimated_value_eur_m
P0066,Mateus Smith,ST,29,Netherlands,La Liga,75.7,58.9,56.1,87.4,29.4,60.8,75.8,71.7,0.68,0.3,44.7
P0067,Jorge Sarr,FB,22,Belgium,Eredivisie,86.7,65.9,75.6,33.4,78.5,58.2,82.5,79.0,0.06,0.0,14.4
P0068,Bruno Novak,CB,21,England,Serie A,66.0,36.0,62.5,21.0,81.7,86.7,74.1,75.5,,0.0,12.8
P0069,Diego Almeida,CB,23,Italy,Eredivisie,60.6,57.5,45.7,35.5,83.5,70.9,64.1,62.6,0.0,0.0,15.8
P0070,Marco Rossi,ST,26,Croatia,La Liga,72.7,56.8,64.6,78.7,33.5,42.1,79.9,60.8,0.6,0.19,24.9
P0071,Amadou Lopes,CB,18,Belgium,Championship,72.4,38.9,51.9,23.8,88.0,73.3,59.4,,0.09,0.27,2.2
P0072,Tunde Mensah,ST,28,Argentina,Championship,84.8,79.7,64.3,82.9,35.4,57.6,81.0,67.4,0.47,0.15,9.8
P0073,Mohammed Nkrumah,CAM,25,France,Premier League,,71.0,92.9,80.8,28.3,40.5,75.2,73.2,0.0,0.34,16.2
P0074,Kevin Traore,FB,27,Belgium,Primeira Liga,69.6,60.0,83.3,33.5,69.7,62.0,69.0,83.2,0.08,,17.1
P0075,Kwame Diallo,ST,27,Italy,Premier League,76.1,74.0,72.9,65.2,32.5,62.7,69.1,76.4,0.49,0.12,29.1
P0076,Tunde Mensah,GK,28,England,Serie A,43.9,27.1,56.0,7.4,27.6,77.8,59.3,68.9,0.0,0.17,12.5
P0077,Kofi Novak,CB,23,Belgium,Bundesliga,59.7,35.5,60.5,35.2,85.6,99.0,75.3,55.0,0.06,0.0,18.4
P0078,Victor Silva,GK,23,England,Ligue 1,48.1,28.5,54.4,9.7,12.4,63.0,62.1,67.8,,0.0,3.3
P0079,Ahmed Kone,GK,25,Germany,Premier League,55.5,25.7,54.1,17.6,14.7,63.4,68.8,56.3,0.2,0.0,6.2
P0080,Nico Traore,CAM,19,Brazil,Bundesliga,,68.0,74.5,59.3,37.2,37.6,82.0,66.6,0.29,0.22,27.1
P0081,Victor Garcia,GK,34,Germany,Bundesliga,29.9,25.6,42.5,4.4,14.9,59.4,76.0,55.6,0.05,0.01,0.2
P0082,Sergio Smith,CM,28,Nigeria,Eredivisie,73.8,70.4,73.7,37.0,59.5,36.2,62.3,75.3,0.05,,14.5
P0083,Jorge Almeida,CB,20,Germany,Eredivisie,65.9,34.1,56.5,23.9,75.8,62.4,70.0,61.4,0.05,0.06,8.1
P0084,James Almeida,ST,31,Belgium,Eredivisie,,80.5,55.3,75.7,13.7,60.6,84.2,70.6,0.73,0.08,13.3
P0085,Ahmed Rossi,FB,20,France,Bundesliga,70.9,59.4,66.1,35.7,73.7,48.2,52.2,99.0,0.0,0.13,15.3
P0086,Amadou Mensah,CAM,23,France,Eredivisie,77.3,82.5,84.8,60.9,28.1,30.5,69.2,63.7,0.45,0.31,
P0087,Tunde Diallo,CB,22,Morocco,Primeira Liga,67.5,38.6,60.8,32.6,52.9,77.1,74.4,64.7,0.08,0.12,10.6
P0088,Thiago Lopes,CAM,31,Ivory Coast,Eredivisie,77.8,76.3,91.9,66.2,27.3,35.1,69.6,68.9,0.28,0.32,
P0089,James Nkrumah,CB,17,Spain,Bundesliga,67.5,34.1,56.2,15.6,65.6,82.3,81.1,63.4,0.0,0.0,7.3
P0090,Andre Costa,FB,20,Ivory Coast,Primeira Liga,82.1,53.9,61.9,34.9,85.7,49.5,61.3,87.9,0.0,0.09,15.4
P0091,Jorge Nkrumah,ST,26,Brazil,Primeira Liga,69.2,68.4,62.0,79.3,26.2,64.7,82.1,50.5,0.54,0.0,14.0
P0092,Ahmed Smith,ST,24,Morocco,Bundesliga,77.1,76.3,74.8,79.0,25.8,60.1,73.7,63.8,0.21,0.04,14.4
P0093,Rafael Silva,CM,25,Senegal,Bundesliga,58.2,69.4,80.0,43.1,48.0,52.7,67.6,73.8,0.02,0.08,22.5
P0094,Pierre Fernandes,ST,25,England,Championship,67.7,68.1,58.8,62.7,32.8,55.9,71.9,71.7,0.63,0.12,9.4
P0095,Nico Sarr,CAM,33,Argentina,Championship,73.5,81.0,92.8,74.0,23.6,42.4,58.3,67.7,0.3,0.24,6.1
P0096,James Martinez,GK,26,Spain,Premier League,58.6,31.9,70.8,14.5,5.9,76.0,73.0,70.3,0.13,0.04,8.9
P0097,Pierre Martinez,GK,21,England,Primeira Liga,40.0,32.7,56.5,18.8,13.1,73.5,79.5,52.1,0.25,0.21,
P0098,Ibrahim Smith,ST,28,Argentina,Premier League,81.4,79.0,71.3,79.2,34.8,51.4,78.0,82.5,0.36,0.08,48.0
P0099,Erik Sarr,ST,18,England,La Liga,85.1,65.6,85.5,75.5,26.5,72.3,94.0,86.5,0.73,0.25,20.8
P0100,James Traore,CB,26,Nigeria,La Liga,53.5,49.4,54.0,6.6,83.0,80.9,70.4,62.9,0.0,0.13,29.1
P0101,Ola Sarr,CB,23,Spain,Bundesliga,62.1,54.2,55.6,34.6,64.5,68.0,77.8,56.7,0.0,0.0,24.0
P0102,Amadou Owusu,ST,23,Spain,Championship,79.2,64.5,47.2,58.3,18.6,61.3,80.7,66.1,0.57,0.12,5.5
P0103,Bruno Novak,ST,24,Germany,Premier League,73.4,63.0,58.4,78.2,27.9,67.3,71.6,81.9,0.51,0.15,24.8
P0104,Marco Novak,CB,19,Spain,Ligue 1,51.2,43.6,58.9,31.3,72.9,69.5,76.1,65.9,0.17,0.1,11.4
P0105,Pierre Boateng,CB,26,Portugal,Primeira Liga,49.1,48.7,57.7,12.1,89.3,72.1,68.5,,0.2,0.0,12.7
P0106,Sergio Costa,FB,33,Brazil,Premier League,85.5,69.4,64.5,26.2,66.3,46.0,70.2,95.1,0.0,0.14,13.6
P0107,Kwame Garcia,ST,22,Netherlands,Eredivisie,79.8,64.3,60.9,89.3,18.9,48.4,78.8,67.1,0.63,0.18,13.4
P0108,Nico Almeida,CAM,30,Italy,Ligue 1,64.3,71.6,63.0,58.5,28.4,29.1,69.9,82.2,0.14,0.21,9.8
P0109,Ola Nkrumah,CB,26,Ghana,Championship,53.2,39.9,66.2,22.3,76.8,70.4,78.4,84.5,0.0,0.05,15.8
P0110,Mateus Boateng,ST,24,Ghana,Ligue 1,82.9,79.5,85.7,84.6,27.6,61.6,75.2,72.7,0.51,0.17,46.4
P0111,Pierre Boateng,FB,17,Portugal,Serie A,73.1,75.4,67.8,27.0,64.0,61.7,69.4,80.1,0.0,0.01,6.3
P0112,Amadou Dubois,CM,31,France,Premier League,69.1,71.4,81.1,46.1,57.4,37.6,72.0,86.9,0.02,0.12,15.7
P0113,Lucas Sarr,GK,26,Italy,Bundesliga,48.9,35.1,58.9,13.3,18.1,75.4,85.2,58.9,0.0,0.16,9.6
P0114,Emile Owusu,FB,23,Netherlands,La Liga,77.9,61.8,67.5,39.3,75.1,63.0,81.5,86.6,0.37,0.0,64.8
P0115,Carlos Dubois,CAM,25,Ghana,Serie A,63.4,84.6,75.6,70.2,42.2,37.1,78.4,76.5,0.59,0.25,36.6
P0116,Jorge Fernandes,CB,20,Belgium,Ligue 1,66.3,44.5,45.8,26.5,93.7,69.0,74.1,60.1,0.0,0.19,10.9
P0117,Kevin Sarr,ST,23,Belgium,Premier League,55.8,73.4,66.1,91.8,29.9,78.3,78.9,69.2,0.52,0.11,15.4
P0118,Mohammed Costa,CM,19,Senegal,Serie A,44.3,63.5,96.2,39.7,33.9,52.7,86.9,82.4,0.12,0.15,
P0119,Kevin Martinez,ST,28,Brazil,La Liga,70.3,76.8,60.4,88.3,25.7,56.5,78.6,67.7,0.57,0.23,28.5
P0120,Erik Salah,CM,26,France,Premier League,69.1,55.4,85.2,46.1,56.2,57.9,75.2,77.9,0.0,0.0,
P0121,Tunde Diallo,GK,18,Brazil,Eredivisie,37.8,25.8,62.0,20.6,30.6,71.9,77.3,50.9,0.03,0.1,1.4
P0122,Emile Diallo,CB,18,Germany,La Liga,54.8,66.4,54.1,9.3,85.9,84.8,85.3,71.8,,0.23,9.3
P0123,Marco Mensah,CB,22,,Ligue 1,49.4,62.5,47.0,22.1,81.9,75.8,74.4,72.6,0.0,0.0,16.7
P0124,Victor Rossi,GK,25,Italy,La Liga,28.1,40.2,46.0,3.1,21.7,70.9,79.6,62.2,0.2,,5.0
P0125,Erik Kone,ST,27,England,Ligue 1,75.1,66.5,64.1,79.3,22.0,57.9,90.8,74.5,0.51,0.22,22.8
P0126,Emile Martinez,ST,20,Senegal,Ligue 1,77.6,91.1,50.6,75.9,19.6,56.5,86.2,74.3,0.68,0.15,10.0
P0127,Sadio Rossi,CB,28,France,Premier League,45.4,43.6,49.1,23.4,98.7,80.3,82.2,83.7,0.2,0.01,19.0
P0128,Hugo Sarr,GK,26,Germany,Championship,36.8,16.5,59.1,5.6,19.6,72.6,83.0,61.3,0.0,,1.9
P0129,Victor Sarr,GK,29,Croatia,Championship,44.6,15.8,60.1,2.8,14.8,65.2,81.0,42.9,0.5,0.16,0.4
P0130,Carlos Garcia,FB,27,Nigeria,Ligue 1,78.7,63.4,66.8,33.4,77.1,59.7,41.5,87.2,0.06,0.05,20.0
P0131,Lucas Silva,CB,30,Croatia,Primeira Liga,,40.8,66.1,26.7,93.8,77.0,72.1,63.1,0.06,0.1,15.2
P0132,Andre Almeida,ST,21,Nigeria,Bundesliga,74.8,56.9,51.9,78.5,20.6,60.9,76.9,70.2,0.64,0.1,15.1
P0133,Emile Nkrumah,ST,24,Spain,Ligue 1,69.3,62.0,58.9,87.0,20.0,58.8,83.6,67.8,0.65,0.0,20.9
P0134,Nico Owusu,CAM,30,Ivory Coast,La Liga,64.2,82.8,73.2,63.9,38.7,41.8,82.3,75.4,0.58,0.14,22.8
P0135,Mateus Boateng,GK,22,Portugal,Serie A,57.5,34.4,56.5,4.7,7.7,75.7,77.4,67.1,0.06,0.0,
P0136,Andre Keller,CM,27,,Ligue 1,61.1,76.2,72.7,48.7,62.6,43.2,74.0,79.5,0.38,0.34,15.2
P0137,Rafael Novak,CAM,24,Morocco,Bundesliga,69.6,72.7,76.8,68.2,31.3,,58.1,72.0,0.1,0.4,19.2
P0138,Kwame Kone,CM,22,Netherlands,Ligue 1,63.8,64.4,89.6,52.6,57.4,50.0,58.9,88.3,0.07,0.25,14.0
P0139,Ola Rossi,GK,26,Nigeria,Ligue 1,40.3,27.3,65.7,3.5,21.2,70.9,67.5,64.1,0.12,0.0,5.2
P0140,Kevin Martinez,CM,24,Senegal,Eredivisie,43.9,74.2,58.7,49.4,55.1,49.3,67.7,96.1,0.11,0.29,11.5
P0141,Ola Fernandes,CB,24,France,Ligue 1,54.5,36.0,54.3,9.9,74.2,88.0,68.4,73.0,0.0,0.23,30.8
P0142,Yusuf Rossi,GK,27,Netherlands,Championship,50.4,11.8,42.5,6.8,18.6,64.1,63.6,73.4,0.01,0.0,0.6
P0143,Nico Boateng,GK,27,Senegal,Ligue 1,45.4,28.4,44.8,4.7,15.2,72.7,62.0,,0.24,0.08,1.7
P0144,Kwame Keller,FB,24,Morocco,La Liga,81.3,67.4,82.0,36.3,64.9,58.6,66.6,69.4,0.03,0.04,24.5
P0145,Ibrahim Kone,CB,22,Morocco,La Liga,61.8,51.7,53.1,42.5,64.8,73.5,74.3,66.4,0.0,0.09,23.3
P0146,Diego Keller,CB,17,Italy,Eredivisie,59.6,45.2,63.0,23.3,68.1,71.4,85.5,61.3,0.27,0.15,4.1
P0147,Amadou Garcia,CB,21,Belgium,Serie A,63.8,56.9,60.8,22.5,80.0,68.0,79.8,75.1,0.0,0.0,19.6
P0148,Sergio Novak,CB,23,France,Bundesliga,54.8,51.0,56.6,19.8,90.6,89.4,70.2,53.1,0.18,0.0,26.0
P0149,Jorge Fernandes,GK,26,Germany,Serie A,,33.5,43.1,7.1,8.3,73.9,83.6,45.4,0.0,0.03,3.6
P0150,Felix Smith,GK,30,Croatia,Serie A,41.8,27.1,22.2,13.3,9.4,65.6,61.8,57.1,0.1,0.05,0.2
